,Customer,Spare/Rental/New Build,Part Number,Description,Sell Price,Contract,Item,Currency,Project/Section,Alternative Part Number,Valve
0,Apache,Spare,33534,Injection Fitting,452,603082-008,1.0,GBP,,,
1,Apache,Spare,40588,Drive Bushing,766,603082-008,2.0,GBP,,,
2,Apache,Spare,40589,Stem,869,603082-008,3.0,GBP,,,
3,Apache,Spare,40747,Drive Bushing,1045,603082-008,4.0,GBP,,,
4,Apache,Spare,40757,Stem,1056,603082-008,5.0,GBP,,,
5,Apache,Spare,41869,Injection Fitting,750,603082-008,6.0,GBP,,,
6,Apache,Spare,41889,Injection Fitting,672,603082-008,7.0,GBP,,,
7,Apache,Spare,42834,Springs,10,603082-008,8.0,GBP,,,
8,Apache,Spare,43947,Split Ring,275,603082-008,9.0,GBP,,,
9,Apache,Spare,43993,Retain Wire,28,603082-008,10.0,GBP,,,
10,Apache,Spare,44151,BNT Gland,704,603082-008,11.0,GBP,,,
11,Apache,Spare,44184,Packing Gland,425,603082-008,12.0,GBP,,,
12,Apache,Spare,44232,Clipper Stem,12,603082-008,13.0,GBP,,,
13,Apache,Spare,44233,Clipper BNT,24,603082-008,14.0,GBP,,,
14,Apache,Spare,44707,Stem,817,603082-008,15.0,GBP,,,
15,Apache,Spare,44741,BNT Seal Ring,900,603082-008,16.0,GBP,,,
16,Apache,Spare,45218,Torque plate,550,603082-008,17.0,GBP,,,
17,Apache,Spare,64770,Studs & Nuts,15,603082-008,18.0,GBP,,,
18,Apache,Spare,64987,Bolt,15,603082-008,19.0,GBP,,,
19,Apache,Spare,66811,Ring gaskets,109,603082-008,20.0,GBP,,,
20,Apache,Spare,68161,BNT Gland,475,603082-008,21.0,GBP,,,
21,Apache,Spare,68700,BNT Seal Ring,256,603082-008,22.0,GBP,,,
22,Apache,Spare,68764,BNT Seal Ring,798,603082-008,23.0,GBP,,,
23,Apache,Spare,68800,Packing Gland,300,603082-008,24.0,GBP,,,
24,Apache,Spare,68815,BNT Seal Ring,400,603082-008,25.0,GBP,,,
25,Apache,Spare,68830,Stem packing,115,603082-008,26.0,GBP,,,
26,Apache,Spare,68911,Clipper Stem,20,603082-008,27.0,GBP,,,
27,Apache,Spare,68970,Timken Boring,35,603082-008,28.0,GBP,,,
28,Apache,Spare,68983,BNT Seal Ring,350,603082-008,29.0,GBP,,,
29,Apache,Spare,70213,Studs,15,603082-008,30.0,GBP,,,
30,Apache,Spare,70296,Studs,10,603082-008,32.0,GBP,,,
31,Apache,Spare,72094,Hydraulic Packing,1,603082-008,33.0,GBP,,,
32,Apache,Spare,72096,Hydraulic Packing,1,603082-008,34.0,GBP,,,
33,Apache,Spare,74066,Grub Screw,10,603082-008,35.0,GBP,,,
34,Apache,Spare,74965,Gub Screw,18,603082-008,36.0,GBP,,,
35,Apache,Spare,75555,Springs,25,603082-008,37.0,GBP,,,
36,Apache,Spare,A70729-1,VR Plugs,1000,603082-008,38.0,GBP,,,
37,Apache,Spare,76269,Spirolok,9,603082-008,39.0,GBP,,,
38,Apache,Spare,78499,Ferrule Spacer,45,603082-008,40.0,GBP,,,
39,Apache,Spare,78716,Orient Pin,275,603082-008,41.0,GBP,,,
40,Apache,Spare,79914,Bush,7,603082-008,42.0,GBP,,,
41,Apache,Spare,86021,Timken Boring,55,603082-008,43.0,GBP,,,
42,Apache,Spare,90254,Pin,39,603082-008,44.0,GBP,,,
43,Apache,Spare,90259,"Junk Ring 1/4""",5,603082-008,45.0,GBP,,,
44,Apache,Spare,90261,"Junk Ring 1""",5,603082-008,46.0,GBP,,,
45,Apache,Spare,90268,Pin,40,603082-008,47.0,GBP,,,
46,Apache,Spare,90271,"Junk Ring 1""",45,603082-008,48.0,GBP,,,
47,Apache,Spare,90274,"Junk Ring 1/4""",132,603082-008,49.0,GBP,,,
48,Apache,Spare,90275,Gland Nut,35,603082-008,50.0,GBP,,,
49,Apache,Spare,90276,Gland Nut,19,603082-008,51.0,GBP,,,
50,Apache,Spare,90613,O-Ring,18,603082-008,52.0,GBP,,,
51,Apache,Spare,90614,O-Ring,18,603082-008,53.0,GBP,,,
52,Apache,Spare,90616,O-Ring,22,603082-008,54.0,GBP,,,
53,Apache,Spare,90697,Slab Seal,235,603082-008,55.0,GBP,,,
54,Apache,Spare,102627,Springs,20,603082-008,56.0,GBP,,,
55,Apache,Spare,113547,Packing Gland,300,603082-008,57.0,GBP,,,
56,Apache,Spare,113549,BNT Gland,400,603082-008,58.0,GBP,,,
57,Apache,Spare,113573,Drive Bushing,1130,603082-008,59.0,GBP,,,
58,Apache,Spare,114184,Stem,666,603082-008,60.0,GBP,,,
59,Apache,Spare,114641,Stem,806,603082-008,61.0,GBP,,,
60,Apache,Spare,115095,Drive Bushing,680,603082-008,62.0,GBP,,,
61,Apache,Spare,116342,Stem Wear Bush,5.5,603082-008,63.0,GBP,,,
62,Apache,Spare,116343,Timken Boring,25,603082-008,64.0,GBP,,,
63,Apache,Spare,116346,Split Ring,250,603082-008,65.0,GBP,,,
64,Apache,Spare,116446,Stem Bushing,7,603082-008,66.0,GBP,,,
65,Apache,Spare,122559,Gates,5489,603082-008,67.0,GBP,,,
66,Apache,Spare,122818,Swage Fitting,20,603082-008,68.0,GBP,,,
67,Apache,Spare,126859,Piston Polypak,9,603082-008,69.0,GBP,,,
68,Apache,Spare,127014,BNT Seal Ring,170,603082-008,70.0,GBP,,,
69,Apache,Spare,127019,BNT Seal Ring,300,603082-008,71.0,GBP,,,
70,Apache,Spare,127029,BNT Seal Ring,500,603082-008,72.0,GBP,,,
