,Part Number,Quote,Unit Cost Price,Unit Sell Price,CM,Date,Qty
0,TBE,2022921,263772.65,393690.52,0.33,2019-05-14,1.0
1,A70029-4,2022921,17614.58,47606.97,0.63,2019-05-14,1.0
2,331848,Q302417,205.0,590.0,0.65,2019-05-22,2.0
3,314905,Q302417,0.66,3.12,0.79,2019-05-22,4.0
4,315167,Q302417,110.85,266.04,0.58,2019-05-22,5.0
5,332238,Q302417,82.72,297.78,0.72,2019-05-22,3.0
6,305255,Q302417,354.0,743.4,0.52,2019-05-22,2.0
7,320800,Q302417,118.98,285.56,0.58,2019-05-22,2.0
8,381300,Q302417,855.0,1795.5,0.52,2019-05-22,1.0
9,343877,Q302417,49.38,177.78,0.72,2019-05-22,10.0
10,381344,Q302417,1953.64,4688.74,0.58,2019-05-22,3.0
11,381174,Q302417,522.0,1252.8,0.58,2019-05-22,2.0
12,377568,Q302417,522.0,1252.8,0.58,2019-05-22,3.0
13,324454,Q302417,213.4,679.45,0.69,2019-05-22,2.0
14,304624,Q302417,71.39,289.02,0.75,2019-05-22,4.0
15,380089,Q302417,555.0,1165.5,0.52,2019-05-22,2.0
16,195000-260,Q302443,1.11,4.68,0.76,2019-05-23,20.0
17,75555,Q302415,18.04,66.0,0.73,2019-05-30,24.0
18,A133738-1,Q302415,3344.0,6384.0,0.48,2019-05-30,6.0
19,A133730-1,Q302415,925.0,1942.5,0.52,2019-05-30,6.0
20,127029,Q302415,211.0,443.1,0.52,2019-05-30,6.0
21,A133734-1,Q302415,2310.0,4851.0,0.52,2019-05-30,6.0
22,A131031-1,Q302415,549.0,837.9,0.34,2019-05-30,2.0
23,H133533-1,Q302415,378.94,1322.02,0.71,2019-05-30,5.0
24,42834,Q302415,4.6,19.32,0.76,2019-05-30,24.0
25,A133760-1,Q302415,3364.0,6422.18,0.48,2019-05-30,2.0
26,A133748-1,Q302415,428.0,1373.0,0.69,2019-05-30,6.0
27,127014,Q302415,116.0,260.0,0.55,2019-05-30,3.0
28,H133533-10,Q302415,706.73,1696.16,0.58,2019-05-30,5.0
29,A133756-1,Q302415,1642.0,3448.2,0.52,2019-05-30,6.0
30,A133740-1,Q302415,482.0,1012.2,0.52,2019-05-30,3.0
31,369627,2032438,4122.9,15420.0,0.73,2019-06-11,1.0
