ident,PNs,Date,Quantity,Material,Bought Out,Sub-Con,Machining,Fabrication,Test & Assy,Margin,Unit Cost,Total Unit Sell - No Spares,Total Ext Sell - No Spares,Spare PNs,Total Ext Sell - Spares,Total Unit Sell,Total Ext Sell,Excel Name,Customer,Item Number,Deal Machine ID
Apache FCM EUK 1650384 Casing hanger Rev 00.xlsx - 1,340468,2017-01-30,1,,3499.83,,,,,0.68,3499.83,10936.98,10936.98,[],0.0,10936.98,10936.98,Apache FCM EUK 1650384 Casing hanger Rev 00.xlsx,Apache,1,
Apache FCM EUK 1650384 Casing hanger Rev 01.xlsx - 1,340468,2017-02-13,1,,2856.0,526.7,,,,0.69,3382.7,10936.98,10936.98,[],0.0,10936.98,10936.98,Apache FCM EUK 1650384 Casing hanger Rev 01.xlsx,Apache,1,
Apache FCM EUK 1650384 Casing hanger Rev 01.xlsx - 2,TBE,2017-02-13,1,,712.0,131.3,258.4,,,0.35,1101.7,1694.92,1694.92,[],0.0,1694.92,1694.92,Apache FCM EUK 1650384 Casing hanger Rev 01.xlsx,Apache,2,
Apache FCM EUK 1650384 Casing hanger Rev 01.xlsx - 3,TBE,2017-02-13,2,,180.0,33.2,32.66,,,0.5,245.86,491.72,983.44,[],0.0,491.72,983.44,Apache FCM EUK 1650384 Casing hanger Rev 01.xlsx,Apache,3,
Apache FCM EUK 1650384 Casing hanger Rev 01.xlsx - 4,TBE,2017-02-13,4,,3.52,0.65,0.32,,,0.75,4.49,17.96,71.84,[],0.0,17.96,71.84,Apache FCM EUK 1650384 Casing hanger Rev 01.xlsx,Apache,4,
Apache FCM EUK 1677678 WG Tree Rev 0.xlsx - 1,398005,2017-04-03,1,,142210.5,,,,,0.27,142210.5,195344.1,195344.1,[],0.0,195344.1,195344.1,Apache FCM EUK 1677678 WG Tree Rev 0.xlsx,Apache,1,
Apache FCM EUK 1677678 WG Tree Rev 1.xlsx - 1,398005,2017-05-17,1,,147098.82,,,,,0.25,147098.82,195344.1,195344.1,[],0.0,195344.1,195344.1,Apache FCM EUK 1677678 WG Tree Rev 1.xlsx,Apache,1,
Apache FCM EUK 1677678 WG Tree Rev 2.xlsx - 1,397970,2017-06-19,1,,149383.78,,,,,0.24,149383.78,196557.61,196557.61,[],0.0,196557.61,196557.61,Apache FCM EUK 1677678 WG Tree Rev 2.xlsx,Apache,1,
Apache FCM EUK 1677678 WG Tree Rev 2.xlsx - 2,397970,2017-06-19,2,,146924.04,,,,,0.21,146924.04,186401.61,372803.22,[],0.0,186401.61,372803.22,Apache FCM EUK 1677678 WG Tree Rev 2.xlsx,Apache,2,
Apache FCM EUK 1677678 WG Tree Rev 2.xlsx - 1,397970,2017-06-19,1,,149383.78,,,,,0.24,149383.78,196557.61,196557.61,[],0.0,196557.61,196557.61,Apache FCM EUK 1677678 WG Tree Rev 2.xlsx,Apache,1,
