,Excel Name,Customer,Deal Machine ID,PO Number,Item Number,Date,PNs,Descriptions,Quantity,Spare PNs,Spares Description,Workscope,Material,Material - Note,Bought Out,Bought Out - Note,Sub-Con,Sub-Con - Note,Machining,Machining - Note,Fabrication,Fabrication - Note,Test & Assy,Test & Assy - Note,Margin,Total Unit Sell - No Spares,Total Ext Sell - No Spares,Total Unit Sell - Spares,Total Ext Sell - Spares,Total Unit Sell,Total Ext Sell,Unit Cost
0,Apache FCM EUK 1650384 Casing hanger Rev 00.xlsx,Apache,,UK,1,2017-01-30,340468,"['CSGHGR,29,20 X 13-3/8,AA TRIM\xa0']",1,[],[],"CSGHGR,29,20 X 13-3/8,AA TRIM ",,,3499.832,,,,,,,,,,0.68,10936.975,10936.975,0.0,0.0,10936.975,10936.975,3499.8319999999994
1,Apache FCM EUK 1650384 Casing hanger Rev 01.xlsx,Apache,,UK,1,2017-02-13,340468,"['CSGHGR,29,20 X 13-3/8,AA TRIM\xa0']",1,[],[],"CSGHGR,29,20 X 13-3/8,AA TRIM ",,,2856,,526.7,,,,,,,,0.6907098661427711,10936.97997350761,10936.97997350761,0.0,0.0,10936.97997350761,10936.97997350761,3382.7000000000007
2,Apache FCM EUK 1650384 Casing hanger Rev 01.xlsx,Apache,,UK,2,2017-02-13,TBE,['21-1/4 X 13-3/8 C29 SLIP/PCKOF'],1,[],[],21-1/4 X 13-3/8 C29 SLIP/PCKOF,,,712,,131.3,,258.4,,,,,,0.35,1694.923076923077,1694.923076923077,0.0,0.0,1694.923076923077,1694.923076923077,1101.7
3,Apache FCM EUK 1650384 Casing hanger Rev 01.xlsx,Apache,,UK,3,2017-02-13,TBE,['21-1/4 X 13-3/8 SUPPORT RGMS2002'],2,[],[],21-1/4 X 13-3/8 SUPPORT RGMS2002,,,180,,33.2,,32.66,,,,,,0.5,491.72,983.4399999999999,0.0,0.0,491.72,983.4399999999999,245.86
4,Apache FCM EUK 1650384 Casing hanger Rev 01.xlsx,Apache,,UK,4,2017-02-13,TBE,['1/2 - 13 X 6 TURNED EYE BOLT'],4,[],[],1/2 - 13 X 6 TURNED EYE BOLT,,,3.52,,0.65,,0.32,,,,,,0.749998186726941,17.95986973540827,71.83947894163306,0.0,0.0,17.95986973540827,71.83947894163306,4.490000000000002
5,Apache FCM EUK 1677678 WG Tree Rev 0.xlsx,Apache,,UK,1,2017-04-03,398005,"['TREE ASSY,WG,13-5/8 3M FE X 7-3M STD TBG BNT W/CIW (MCEVOY) HGR PREP,7-3M 2200PE FE HYD ACT MASTER VLV W/LWR FLG SBL SEAL,7-3M STDD Y-TEE SINGLE 45 \nDEG OUTLET,7-3M 2200T FE HWO SWAB AND INJECTION  VLVS,7-3M BLIND FLG W/NEEDLE VLV AND PRS GAUGE,6A LU EE-0,5 PSL2 PR2,APACHE FORTIES FIELD INJECTOR TREE, W/INCONEL 625 CLAD COMPONENTS ']",1,[],[],"TREE ASSY,WG,13-5/8 3M FE X 7-3M STD TBG BNT W/CIW (MCEVOY) HGR PREP,7-3M 2200PE FE HYD ACT MASTER VLV W/LWR FLG SBL SEAL,7-3M STDD Y-TEE SINGLE 45 
DEG OUTLET,7-3M 2200T FE HWO SWAB AND INJECTION  VLVS,7-3M BLIND FLG W/NEEDLE VLV AND PRS GAUGE,6A LU EE-0,5 PSL2 PR2,APACHE FORTIES FIELD INJECTOR TREE, W/INCONEL 625 CLAD COMPONENTS ",,,142210.5024,,,,,,,,,,0.272,195344.0967032967,195344.0967032967,0.0,0.0,195344.0967032967,195344.0967032967,142210.5024
6,Apache FCM EUK 1677678 WG Tree Rev 1.xlsx,Apache,,UK,1,2017-05-17,398005,"['TREE ASSY,WG,13-5/8 3M FE X 7-3M STD TBG BNT W/CIW (MCEVOY) HGR PREP,7-3M 2200PE FE HYD ACT MASTER VLV W/LWR FLG SBL SEAL,7-3M STDD Y-TEE SINGLE 45 \nDEG OUTLET,7-3M 2200T FE HWO SWAB AND INJECTION  VLVS,7-3M BLIND FLG W/NEEDLE VLV AND PRS GAUGE,6A LU EE-0,5 PSL2 PR2,APACHE FORTIES FIELD INJECTOR TREE, W/INCONEL 625 CLAD COMPONENTS ']",1,[],[],"TREE ASSY,WG,13-5/8 3M FE X 7-3M STD TBG BNT W/CIW (MCEVOY) HGR PREP,7-3M 2200PE FE HYD ACT MASTER VLV W/LWR FLG SBL SEAL,7-3M STDD Y-TEE SINGLE 45 
DEG OUTLET,7-3M 2200T FE HWO SWAB AND INJECTION  VLVS,7-3M BLIND FLG W/NEEDLE VLV AND PRS GAUGE,6A LU EE-0,5 PSL2 PR2,APACHE FORTIES FIELD INJECTOR TREE, W/INCONEL 625 CLAD COMPONENTS ",,,147098.8224,,,,,,,,,,0.2469758625938693,195344.1000001634,195344.1000001634,0.0,0.0,195344.1000001634,195344.1000001634,147098.82239999998
7,Apache FCM EUK 1677678 WG Tree Rev 2.xlsx,Apache,,UK,1,2017-06-19,397970,"['TREE ASSY,WG,13-5/8 3M FE X 7-3M STD TBG BNT W/CIW (MCEVOY) HGR PREP,7-3M 2200PE FE W/PNEUMATIC PISTON ACT MASTER VLV W/LWR FLG SBL SEAL,7-3M STDD\nY-TEE SINGLE 45 DEG OUTLET,7-3M 2200T FE HWO SWAB AND INJECTION VLVS,7-3M BLIND FLG W/NEEDLE VLV AND PRS GAUGE,6A LU EE-0,5 PSL2 PR2,WETTED SURFACE \nINCONEL 625 CLAD,APACHE FORTIES FIELD INJECTOR TREE ']",1,[],[],"TREE ASSY,WG,13-5/8 3M FE X 7-3M STD TBG BNT W/CIW (MCEVOY) HGR PREP,7-3M 2200PE FE W/PNEUMATIC PISTON ACT MASTER VLV W/LWR FLG SBL SEAL,7-3M STDD
Y-TEE SINGLE 45 DEG OUTLET,7-3M 2200T FE HWO SWAB AND INJECTION VLVS,7-3M BLIND FLG W/NEEDLE VLV AND PRS GAUGE,6A LU EE-0,5 PSL2 PR2,WETTED SURFACE 
INCONEL 625 CLAD,APACHE FORTIES FIELD INJECTOR TREE ",,,149383.784,,,,,,,,,,0.24,196557.6105263158,196557.6105263158,0.0,0.0,196557.6105263158,196557.6105263158,149383.784
8,Apache FCM EUK 1677678 WG Tree Rev 2.xlsx,Apache,,UK,2,2017-06-19,397970,"['TREE ASSY,WG,13-5/8 3M FE X 7-3M STD TBG BNT W/CIW (MCEVOY) HGR PREP,7-3M 2200PE FE W/PNEUMATIC PISTON ACT MASTER VLV W/LWR FLG SBL SEAL,7-3M STDD\nY-TEE SINGLE 45 DEG OUTLET,7-3M 2200T FE HWO SWAB AND INJECTION VLVS,7-3M BLIND FLG W/NEEDLE VLV AND PRS GAUGE,6A LU EE-0,5 PSL2 PR2,WETTED SURFACE \nINCONEL 625 CLAD,APACHE FORTIES FIELD INJECTOR TREE ']",2,[],[],"TREE ASSY,WG,13-5/8 3M FE X 7-3M STD TBG BNT W/CIW (MCEVOY) HGR PREP,7-3M 2200PE FE W/PNEUMATIC PISTON ACT MASTER VLV W/LWR FLG SBL SEAL,7-3M STDD
Y-TEE SINGLE 45 DEG OUTLET,7-3M 2200T FE HWO SWAB AND INJECTION VLVS,7-3M BLIND FLG W/NEEDLE VLV AND PRS GAUGE,6A LU EE-0,5 PSL2 PR2,WETTED SURFACE 
INCONEL 625 CLAD,APACHE FORTIES FIELD INJECTOR TREE ",,,146924.044,,,,,,,,,,0.211787687547774,186401.6099201764,372803.2198403528,0.0,0.0,186401.6099201764,372803.2198403528,146924.04400000002
9,Apache FCM EUK 1677678 WG Tree Rev 2.xlsx,Apache,,UK,1,2017-06-19,397970,"['TREE ASSY,WG,13-5/8 3M FE X 7-3M STD TBG BNT W/CIW (MCEVOY) HGR PREP,7-3M 2200PE FE W/PNEUMATIC PISTON ACT MASTER VLV W/LWR FLG SBL SEAL,7-3M STDD\nY-TEE SINGLE 45 DEG OUTLET,7-3M 2200T FE HWO SWAB AND INJECTION VLVS,7-3M BLIND FLG W/NEEDLE VLV AND PRS GAUGE,6A LU EE-0,5 PSL2 PR2,WETTED SURFACE \nINCONEL 625 CLAD,APACHE FORTIES FIELD INJECTOR TREE ']",1,[],[],"TREE ASSY,WG,13-5/8 3M FE X 7-3M STD TBG BNT W/CIW (MCEVOY) HGR PREP,7-3M 2200PE FE W/PNEUMATIC PISTON ACT MASTER VLV W/LWR FLG SBL SEAL,7-3M STDD
Y-TEE SINGLE 45 DEG OUTLET,7-3M 2200T FE HWO SWAB AND INJECTION VLVS,7-3M BLIND FLG W/NEEDLE VLV AND PRS GAUGE,6A LU EE-0,5 PSL2 PR2,WETTED SURFACE 
INCONEL 625 CLAD,APACHE FORTIES FIELD INJECTOR TREE ",,,149383.784,,,,,,,,,,0.24,196557.6105263158,196557.6105263158,0.0,0.0,196557.6105263158,196557.6105263158,149383.784
