ident,PNs,Date,Quantity,Material,Bought Out,Sub-Con,Machining,Fabrication,Test & Assy,Margin,Unit Cost,Total Unit Sell - No Spares,Total Ext Sell - No Spares,Spare PNs,Total Ext Sell - Spares,Total Unit Sell,Total Ext Sell,Excel Name,Customer,Item Number
EUK 1646609.xlsx - 1,A70032-12,2017-01-17,1.0,,573.75,,,,,0.29,573.75,810.0,810.0,[],0.0,810.0,810.0,EUK 1646609.xlsx,Apache,1
EUK 1646609.xlsx - 2,A70032-12,2017-01-17,1.0,,573.75,,,,,0.29,573.75,810.0,810.0,[],0.0,810.0,810.0,EUK 1646609.xlsx,Apache,2
Apache - Hanger - FCM - EUK 1690975 - Rev 00.xlsx - 1,"A70032-8, A300726-15",2017-05-16,1.0,0.0,1776.62,0.0,0.0,0.0,0.0,0.28,1776.63,2460.0,2460.0,[],0.0,2460.0,2460.0,Apache - Hanger - FCM - EUK 1690975 - Rev 00.xlsx,Apache,1
Apache - Hanger - FCM - EUK 1690975 - Rev 00.xlsx - 2,"A70032-8, A300726-15",2017-05-16,1.0,0.0,1776.62,0.0,0.0,0.0,0.0,0.28,1776.63,2460.0,2460.0,[],0.0,2460.0,2460.0,Apache - Hanger - FCM - EUK 1690975 - Rev 00.xlsx,Apache,2
Apache - Hanger - FCM - EUK 1690975 - Rev 00.xlsx - 3,"A70032-8, A300726-15",2017-05-16,1.0,0.0,1465.83,0.0,0.0,0.0,0.0,0.28,1465.83,2029.5,2029.5,[],0.0,2029.5,2029.5,Apache - Hanger - FCM - EUK 1690975 - Rev 00.xlsx,Apache,3
Apache - Hanger - FCM - EUK 1690975 - Rev 00.xlsx - 4,A70032-12,2017-05-16,1.0,0.0,1007.89,0.0,0.0,0.0,0.0,0.28,1007.89,1396.05,1396.05,[],0.0,1396.05,1396.05,Apache - Hanger - FCM - EUK 1690975 - Rev 00.xlsx,Apache,4
APACHE EUK 1710198 REV 0.xlsx - 1,384752,2017-06-27,1.0,,11011.2,,,,,0.15,11011.2,12954.35,12954.35,[],0.0,12954.35,12954.35,APACHE EUK 1710198 REV 0.xlsx,Apache,1
EUK 1712413 Rev 2.xlsx - 1,A130978-1REF,2017-07-18,1.0,,5772.0,355.2,400.0,519.39,,0.15,7046.59,8290.11,8290.11,"['A300044-727', 'A300042-6', 'A76619G', 'H300431-8', 'A300044-485', 'A300042-4']",3718.98,9681.27,12009.09,EUK 1712413 Rev 2.xlsx,Apache,1
EUK 1712413 Rev 2.xlsx - 2,A130978-1REF,2017-07-18,1.0,,5772.0,355.2,400.0,519.39,,0.15,7046.59,8290.11,8290.11,"['A300044-727', 'A300042-6', 'A76619G', 'H300431-8', 'A300044-485', 'A300042-4']",3718.98,9681.27,12009.09,EUK 1712413 Rev 2.xlsx,Apache,2
EUK 1712413 Rev 2.xlsx - 3,A130978-1REF,2017-07-18,1.0,,5772.0,355.2,400.0,519.39,,0.15,7046.59,8290.11,8290.11,"['A300044-727', 'A300042-6', 'A76619G', 'H300431-8', 'A300044-485', 'A300042-4']",3718.98,9681.27,12009.09,EUK 1712413 Rev 2.xlsx,Apache,3
EUK 1712413 Rev 2.xlsx - 4,A130978-1REF,2017-07-18,1.0,,4084.8,355.2,400.0,519.39,,0.15,5359.39,6305.17,6305.17,"['A300044-727', 'A300042-6', 'A76619G', 'H300431-8', 'A300044-485', 'A300042-4']",3718.98,7696.33,10024.15,EUK 1712413 Rev 2.xlsx,Apache,4
EUK 1712413 Rev 0.xlsx - 1,A130978-1REF,2017-06-28,1.0,,4262.4,355.2,400.0,519.39,,0.15,5536.99,6514.11,6514.11,"['A300044-727', 'A300042-6', 'A76619G', 'H300431-8', 'A300044-485', 'A300042-4']",3718.98,7905.27,10233.09,EUK 1712413 Rev 0.xlsx,Apache,1
EUK 1712413 Rev 0.xlsx - 2,A130978-1REF,2017-06-28,1.0,,4262.4,355.2,400.0,519.39,,0.15,5536.99,6514.11,6514.11,"['A300044-727', 'A300042-6', 'A76619G', 'H300431-8', 'A300044-485', 'A300042-4']",3718.98,7905.27,10233.09,EUK 1712413 Rev 0.xlsx,Apache,2
EUK 1712413 Rev 0.xlsx - 3,A130978-1REF,2017-06-28,1.0,,4262.4,355.2,400.0,519.39,,0.15,5536.99,6514.11,6514.11,"['A300044-727', 'A300042-6', 'A76619G', 'H300431-8', 'A300044-485', 'A300042-4']",3718.98,7905.27,10233.09,EUK 1712413 Rev 0.xlsx,Apache,3
EUK 1712413 Rev 0.xlsx - 4,A130978-1REF,2017-06-28,1.0,,4084.8,355.2,400.0,519.39,,0.15,5359.39,6305.17,6305.17,"['A300044-727', 'A300042-6', 'A76619G', 'H300431-8', 'A300044-485', 'A300042-4']",3718.98,7696.33,10024.15,EUK 1712413 Rev 0.xlsx,Apache,4
EUK 1712413 Rev 1.xlsx - 1,A130978-1REF,2017-07-18,1.0,,5772.0,355.2,400.0,519.39,,0.15,7046.59,8290.11,8290.11,"['A300044-727', 'A300042-6', 'A76619G', 'H300431-8', 'A300044-485', 'A300042-4']",3718.98,9681.27,12009.09,EUK 1712413 Rev 1.xlsx,Apache,1
EUK 1712413 Rev 1.xlsx - 2,A130978-1REF,2017-07-18,1.0,,5772.0,355.2,400.0,519.39,,0.15,7046.59,8290.11,8290.11,"['A300044-727', 'A300042-6', 'A76619G', 'H300431-8', 'A300044-485', 'A300042-4']",3718.98,9681.27,12009.09,EUK 1712413 Rev 1.xlsx,Apache,2
EUK 1712413 Rev 1.xlsx - 3,A130978-1REF,2017-07-18,1.0,,5772.0,355.2,400.0,519.39,,0.15,7046.59,8290.11,8290.11,"['A300044-727', 'A300042-6', 'A76619G', 'H300431-8', 'A300044-485', 'A300042-4']",3718.98,9681.27,12009.09,EUK 1712413 Rev 1.xlsx,Apache,3
EUK 1712413 Rev 1.xlsx - 4,A130978-1REF,2017-07-18,1.0,,4084.8,355.2,400.0,519.39,,0.15,5359.39,6305.17,6305.17,"['A300044-727', 'A300042-6', 'A76619G', 'H300431-8', 'A300044-485', 'A300042-4']",3718.98,7696.33,10024.15,EUK 1712413 Rev 1.xlsx,Apache,4
APACHE EUK 1821107 Rev 0.xlsx - 1,385386,2018-02-20,1.0,,976.8,840.0,200.0,95.4,,0.29,2112.2,2990.51,2990.51,[],0.0,2990.51,2990.51,APACHE EUK 1821107 Rev 0.xlsx,Apache,1
Chevron - Alba - Cost Model - EUK 1566963 - Rev 00.xlsx - 1,D70416-1,2016-06-28,2.0,,290.0,,,,,0.05,290.0,304.5,609.0,[],0.0,304.5,609.0,Chevron - Alba - Cost Model - EUK 1566963 - Rev 00.xlsx,Chevron now Ithaca,1
Chevron - Alba - Cost Model - EUK 1566963 - Rev 00.xlsx - 2,D70450-1,2016-06-28,1.0,,580.0,,,,,0.05,580.0,609.0,609.0,[],0.0,609.0,609.0,Chevron - Alba - Cost Model - EUK 1566963 - Rev 00.xlsx,Chevron now Ithaca,2
Chevron - Alba - Cost Model - EUK 1566963 - Rev 00.xlsx - 1,D70416-1,2016-06-28,2.0,,290.0,,,,,0.05,290.0,304.5,609.0,[],0.0,304.5,609.0,Chevron - Alba - Cost Model - EUK 1566963 - Rev 00.xlsx,Chevron now Ithaca,1
Chevron - Alba - Cost Model - EUK 1566963 - Rev 00.xlsx - 2,D70450-1,2016-06-28,1.0,,580.0,,,,,0.05,580.0,609.0,609.0,[],0.0,609.0,609.0,Chevron - Alba - Cost Model - EUK 1566963 - Rev 00.xlsx,Chevron now Ithaca,2
NOT USED.xlsx - 1,498145,2016-06-21,1.0,,1595.09,,,,,0.26,1595.09,2147.0,2147.0,[],0.0,2147.0,2147.0,NOT USED.xlsx,Chevron now Ithaca,1
Chevron EUK 1566959 REv 03.xlsx - 1,A140741-1,2017-08-15,1.0,8.07,532.8,200.0,,,,0.2,740.87,922.15,922.15,"['195034-262', '195000-445']",0.0,922.15,922.15,Chevron EUK 1566959 REv 03.xlsx,Chevron now Ithaca,1
Chevron - MS-1 Tools - Cost Model - EUK 1566959 - Rev 00.xlsx - 1,A140742-,2016-08-09,2.0,0.0,1186.5,0.0,0.0,0.0,0.0,0.0,1186.5,1186.5,2373.0,[],0.0,1186.5,2373.0,Chevron - MS-1 Tools - Cost Model - EUK 1566959 - Rev 00.xlsx,Chevron now Ithaca,1
