,Excel Name,Customer,Item Number,Date,PNs,Descriptions,Quantity,Spare PNs,Spares Description,Workscope,Material,Material - Note,Bought Out,Bought Out - Note,Sub-Con,Sub-Con - Note,Machining,Machining - Note,Fabrication,Fabrication - Note,Test & Assy,Test & Assy - Note,Margin,Total Unit Sell - No Spares,Total Ext Sell - No Spares,Total Unit Sell - Spares,Total Ext Sell - Spares,Total Unit Sell,Total Ext Sell,Unit Cost
0,EUK 1646609.xlsx,Apache,1,2017-01-17,A70032-12,"['TUBING HGR, MB-134, 13-5/8 X 7 X 5-1/2, 5-1/2 OD 17LBS/FT VAM TOP HC BTM, 7.161-6TPI LH \nMCA BOX TOP W/EXT NECK FOR BT SEAL, W/FOUR 1/4 CONT LINE AND 5 CIW TYPE H BPV, 75K 410SS NACE']",1.0,[],[],"TUBING HGR, MB-134, 13-5/8 X 7 X 5-1/2, 5-1/2 OD 17LBS/FT VAM TOP HC BTM, 7.161-6TPI LH 
MCA BOX TOP W/EXT NECK FOR BT SEAL, W/FOUR 1/4 CONT LINE AND 5 CIW TYPE H BPV, 75K 410SS NACE",,,573.75,,,,,,,,,,0.2916666668660093,810.0,810.0,0.0,0.0,810.0,810.0,573.7499998385325
1,EUK 1646609.xlsx,Apache,2,2017-01-17,A70032-12,"['TUBING HGR, MB-134, 13-5/8 X 7 X 5-1/2, 5-1/2 OD 17LBS/FT VAM TOP HC BTM, 7.161-6TPI LH \nMCA BOX TOP W/EXT NECK FOR BT SEAL, W/FOUR 1/4 CONT LINE AND 5 CIW TYPE H BPV, 75K 410SS NACE']",1.0,[],[],"TUBING HGR, MB-134, 13-5/8 X 7 X 5-1/2, 5-1/2 OD 17LBS/FT VAM TOP HC BTM, 7.161-6TPI LH 
MCA BOX TOP W/EXT NECK FOR BT SEAL, W/FOUR 1/4 CONT LINE AND 5 CIW TYPE H BPV, 75K 410SS NACE",,,573.75,,,,,,,,,,0.2916674745042995,810.0009155273438,810.0009155273438,0.0,0.0,810.0009155273438,810.0009155273438,573.7499941493129
2,Apache - Hanger - FCM - EUK 1690975 - Rev 00.xlsx,Apache,1,2017-05-16,"A70032-8, A300726-15","['TUBING HGR, MB-134, 13-5/8 X 7 X 5-1/2, 5-1/2 OD 17 VAM ACE BTM, 7.161-6TPI LH MCA BOX TOP, W/EXT NECK FOR BT SEAL, W/1/4 CONT LINE AND 5 CIW TYPE H BPV, 120K INCONEL 718 NACE.\n\nMODIFIED TO MATCH THE CONTROL LINE PENETRATIONS ON HANGER A70032-15\nMACHINE ADDITIONAL 2-OFF CONTROL LINE PENETRATIONS 180 DEGREES APART, FINAL CONFIGURATION FOR PORTS WILL BE 4 X 90 DEGREES APART', 'CONNECTOR-HYDR, MALE, .250 TUBE X .500 NPT MALE,ALLOY 20.']",1.0,[],[],"TUBING HGR, MB-134, 13-5/8 X 7 X 5-1/2, 5-1/2 OD 17 VAM ACE BTM, 7.161-6TPI LH MCA BOX TOP, W/EXT NECK FOR BT SEAL, W/1/4 CONT LINE AND 5 CIW TYPE H BPV, 120K INCONEL 718 NACE.

MODIFIED TO MATCH THE CONTROL LINE PENETRATIONS ON HANGER A70032-15
MACHINE ADDITIONAL 2-OFF CONTROL LINE PENETRATIONS 180 DEGREES APART, FINAL CONFIGURATION FOR PORTS WILL BE 4 X 90 DEGREES APART",0,,1776.625,,0,,0,,0,,0,,0.2777947138500038,2460.0,2460.0,0.0,0.0,2460.0,2460.0,1776.6250039289905
3,Apache - Hanger - FCM - EUK 1690975 - Rev 00.xlsx,Apache,2,2017-05-16,"A70032-8, A300726-15","['TUBING HGR, MB-134, 13-5/8 X 7 X 5-1/2, 5-1/2 OD 17 VAM ACE BTM, 7.161-6TPI LH MCA BOX TOP, W/EXT NECK FOR BT SEAL, W/1/4 CONT LINE AND 5 CIW TYPE H BPV, 120K INCONEL 718 NACE.\n\nMODIFIED TO MATCH THE CONTROL LINE PENETRATIONS ON HANGER A70032-15\nMACHINE ADDITIONAL 2-OFF CONTROL LINE PENETRATIONS 180 DEGREES APART, FINAL CONFIGURATION FOR PORTS WILL BE 4 X 90 DEGREES APART', 'CONNECTOR-HYDR, MALE, .250 TUBE X .500 NPT MALE,ALLOY 20.']",1.0,[],[],"TUBING HGR, MB-134, 13-5/8 X 7 X 5-1/2, 5-1/2 OD 17 VAM ACE BTM, 7.161-6TPI LH MCA BOX TOP, W/EXT NECK FOR BT SEAL, W/1/4 CONT LINE AND 5 CIW TYPE H BPV, 120K INCONEL 718 NACE.

MODIFIED TO MATCH THE CONTROL LINE PENETRATIONS ON HANGER A70032-15
MACHINE ADDITIONAL 2-OFF CONTROL LINE PENETRATIONS 180 DEGREES APART, FINAL CONFIGURATION FOR PORTS WILL BE 4 X 90 DEGREES APART",0,,1776.625,,0,,0,,0,,0,,0.2777947138500038,2460.0,2460.0,0.0,0.0,2460.0,2460.0,1776.6250039289905
4,Apache - Hanger - FCM - EUK 1690975 - Rev 00.xlsx,Apache,3,2017-05-16,"A70032-8, A300726-15","['TUBING HGR, MB-134, 13-5/8 X 7 X 5-1/2, 5-1/2 OD 17 VAM ACE BTM, 7.161-6TPI LH MCA BOX TOP, W/EXT NECK FOR BT SEAL, W/1/4 CONT LINE AND 5 CIW TYPE H BPV, 120K INCONEL 718 NACE.\n\nMODIFIED TO MATCH THE CONTROL LINE PENETRATIONS ON HANGER A70032-15\nMACHINE ADDITIONAL 2-OFF CONTROL LINE PENETRATIONS 180 DEGREES APART, FINAL CONFIGURATION FOR PORTS WILL BE 4 X 90 DEGREES APART', 'CONNECTOR-HYDR, MALE, .250 TUBE X .500 NPT MALE,ALLOY 20.']",1.0,[],[],"TUBING HGR, MB-134, 13-5/8 X 7 X 5-1/2, 5-1/2 OD 17 VAM ACE BTM, 7.161-6TPI LH MCA BOX TOP, W/EXT NECK FOR BT SEAL, W/1/4 CONT LINE AND 5 CIW TYPE H BPV, 120K INCONEL 718 NACE.

MODIFIED TO MATCH THE CONTROL LINE PENETRATIONS ON HANGER A70032-15
MACHINE ADDITIONAL 2-OFF CONTROL LINE PENETRATIONS 180 DEGREES APART, FINAL CONFIGURATION FOR PORTS WILL BE 4 X 90 DEGREES APART",0,,1465.830357142857,,0,,0,,0,,0,,0.2777381816172798,2029.5,2029.5,0.0,0.0,2029.5,2029.5,1465.8303604077307
5,Apache - Hanger - FCM - EUK 1690975 - Rev 00.xlsx,Apache,4,2017-05-16,A70032-12,"['TUBING HGR, MB-134, 13-5/8 X 7 X 5-1/2, 5-1/2 OD 17LBS/FT VAM TOP HC BTM, 7.161-6TPI LH MCA BOX TOP W/EXT NECK FOR BT SEAL, W/FOUR 1/4 CONT LINE AND 5 CIW TYPE H BPV, 75K 410SS NACE.\n\nCONTROL LINE PORT WAS DAMAGED.  STRIP & INSPECT CARRIED OUT AND MACHINED TO REPAIR']",1.0,[],[],"TUBING HGR, MB-134, 13-5/8 X 7 X 5-1/2, 5-1/2 OD 17LBS/FT VAM TOP HC BTM, 7.161-6TPI LH MCA BOX TOP W/EXT NECK FOR BT SEAL, W/FOUR 1/4 CONT LINE AND 5 CIW TYPE H BPV, 75K 410SS NACE.

CONTROL LINE PORT WAS DAMAGED.  STRIP & INSPECT CARRIED OUT AND MACHINED TO REPAIR",0,,1007.892857142857,,0,,0,,0,,0,,0.2780395692821826,1396.050048828125,1396.050048828125,0.0,0.0,1396.050048828125,1396.050048828125,1007.8928945555831
6,APACHE EUK 1710198 REV 0.xlsx,Apache,1,2017-06-27,384752,"['TREE ASSY,WG,13-5/8 3M FE X 7-3M STD TBG BNT W/CIW(MCEVOY) HGR PREP,7-3M 2200PE FE W/PNEUMATIC PISTON ACT MASTER VLV W/LWR FLG SBL SEAL,7-3M STDDY-TEE SINGLE 45 DEG OUTLET,7-3M 2200T FE HWO SWAB AND INJECTION VLVS,7-3M BLIND FLG W/NEEDLE VLV AND\nPRS GAUGE,6A LU EE-0,5 PSL2 PR2,APACHE FORTIES \nFIELD INJECTOR TREE \n\nSTRIP, CLEAN, INSPECT & COMPILE SURVEY REPORT\n\n']",1.0,[],[],"TREE ASSY,WG,13-5/8 3M FE X 7-3M STD TBG BNT W/CIW(MCEVOY) HGR PREP,7-3M 2200PE FE W/PNEUMATIC PISTON ACT MASTER VLV W/LWR FLG SBL SEAL,7-3M STDDY-TEE SINGLE 45 DEG OUTLET,7-3M 2200T FE HWO SWAB AND INJECTION VLVS,7-3M BLIND FLG W/NEEDLE VLV AND
PRS GAUGE,6A LU EE-0,5 PSL2 PR2,APACHE FORTIES 
FIELD INJECTOR TREE 

STRIP, CLEAN, INSPECT & COMPILE SURVEY REPORT

",,,11011.2,,,,,,,,,,0.15,12954.3525390625,12954.3525390625,0.0,0.0,12954.3525390625,12954.3525390625,11011.199658203124
7,EUK 1712413 Rev 2.xlsx,Apache,1,2017-07-18,A130978-1REF,"['TUBING BONNET,D-SEAL,5 X 2 ,13-5/8 5M,11 3M  (SPECIAL) W/2 C73 CONTROL LINE EXITS AND 4 TEST PORTS 1/2 LP \n\nTAP & GAUGE ALL TEST PORTS \nUPGRADE 5"" AND 2"" BORES TO HH TRIM ( HOT WELD )\nASSEMBLE & TEST\nPAINT\nENGINEERING \n']",1.0,"['A300044-727', 'A300042-6', 'A76619G', 'H300431-8', 'A300044-485', 'A300042-4']","['STUD,1.625 - 8UN, 8.750 ,ASTM A-320 GR L7,CHAMFER EACH END,CAD PLATE PER DCS 013 ', 'NUT,HX HVY,1.625 - 8UN,ASTM A194 GR 2H,CAD PLATE PER DCS 013 ', 'CONTROL LINE ASSEMBLY, TYPE C-73, 1/4IN ', 'GREASE FITTING, GSP, 1/2 LP, 316SS NACE MR-01-75,FOR TEST/BLEEDER, PLASTIC/GREASE INJECTION, WITH\nEXTENDED THREAD FOR WET AND GAS SERVICE ', 'STUD,1.375 - 8UN, 6.750 ,ASTM A-320 GR L7,CHAMFER EACH END,CAD PLATE PER DCS 013 ', 'NUT,HX HVY,1.375 - 8UN,ASTM A194 GR 2H,CAD PLATE PER DCS 013 ']","TUBING BONNET,D-SEAL,5 X 2 ,13-5/8 5M,11 3M  (SPECIAL) W/2 C73 CONTROL LINE EXITS AND 4 TEST PORTS 1/2 LP 

TAP & GAUGE ALL TEST PORTS 
UPGRADE 5"" AND 2"" BORES TO HH TRIM ( HOT WELD )
ASSEMBLE & TEST
PAINT
ENGINEERING 
",,,5772,"Comment: Valenzuela, Paul (GE Oil & Gas):
HRS FROM MONTROSE by Valenzuela, Paul (GE Oil & Gas)",355.2,"Comment: Valenzuela, Paul (GE Oil & Gas):
Clean & Hardness per Oracle by Valenzuela, Paul (GE Oil & Gas)",400,"Comment: Valenzuela, Paul (GE Oil & Gas):
Paint ( mas demask included in Montrose hrs by Valenzuela, Paul (GE Oil & Gas)",519.3907991835453,"Comment: Valenzuela, Paul (GE Oil & Gas):
engineering 40 hrs spread across 4 bonnets by Valenzuela, Paul (GE Oil & Gas)",,,0.15,8290.1064453125,8290.1064453125,1391.167236328125,3718.984375,9681.2734375,12009.0908203125,7046.590478515624
8,EUK 1712413 Rev 2.xlsx,Apache,2,2017-07-18,A130978-1REF,"['TUBING BONNET,D-SEAL,5 X 2 ,13-5/8 5M,11 3M  (SPECIAL) W/2 C73 CONTROL LINE EXITS AND 4 TEST PORTS 1/2 LP \n\nTAP & GAUGE ALL TEST PORTS \nUPGRADE 5"" AND 2"" BORES TO HH TRIM ( HOT WELD )\nASSEMBLE & TEST\nPAINT\nENGINEERING ']",1.0,"['A300044-727', 'A300042-6', 'A76619G', 'H300431-8', 'A300044-485', 'A300042-4']","['STUD,1.625 - 8UN, 8.750 ,ASTM A-320 GR L7,CHAMFER EACH END,CAD PLATE PER DCS 013 ', 'NUT,HX HVY,1.625 - 8UN,ASTM A194 GR 2H,CAD PLATE PER DCS 013 ', 'CONTROL LINE ASSEMBLY, TYPE C-73, 1/4IN ', 'GREASE FITTING, GSP, 1/2 LP, 316SS NACE MR-01-75,FOR TEST/BLEEDER, PLASTIC/GREASE INJECTION, WITH\nEXTENDED THREAD FOR WET AND GAS SERVICE ', 'STUD,1.375 - 8UN, 6.750 ,ASTM A-320 GR L7,CHAMFER EACH END,CAD PLATE PER DCS 013 ', 'NUT,HX HVY,1.375 - 8UN,ASTM A194 GR 2H,CAD PLATE PER DCS 013 ']","TUBING BONNET,D-SEAL,5 X 2 ,13-5/8 5M,11 3M  (SPECIAL) W/2 C73 CONTROL LINE EXITS AND 4 TEST PORTS 1/2 LP 

TAP & GAUGE ALL TEST PORTS 
UPGRADE 5"" AND 2"" BORES TO HH TRIM ( HOT WELD )
ASSEMBLE & TEST
PAINT
ENGINEERING ",,,5772,"Comment: Valenzuela, Paul (GE Oil & Gas):
HRS FROM MONTROSE by Valenzuela, Paul (GE Oil & Gas)",355.2,,400,,519.3907991835453,,,,0.15,8290.1064453125,8290.1064453125,1391.167236328125,3718.984375,9681.2734375,12009.0908203125,7046.590478515624
9,EUK 1712413 Rev 2.xlsx,Apache,3,2017-07-18,A130978-1REF,"['TUBING BONNET,D-SEAL,5 X 2 ,13-5/8 5M,11 3M  (SPECIAL) W/2 C73 CONTROL LINE EXITS AND 4 TEST PORTS 1/2 LP \n\nTAP & GAUGE ALL TEST PORTS \nUPGRADE 5"" AND 2"" BORES TO HH TRIM ( HOT WELD )\nASSEMBLE & TEST\nPAINT\nENGINEERING ']",1.0,"['A300044-727', 'A300042-6', 'A76619G', 'H300431-8', 'A300044-485', 'A300042-4']","['STUD,1.625 - 8UN, 8.750 ,ASTM A-320 GR L7,CHAMFER EACH END,CAD PLATE PER DCS 013 ', 'NUT,HX HVY,1.625 - 8UN,ASTM A194 GR 2H,CAD PLATE PER DCS 013 ', 'CONTROL LINE ASSEMBLY, TYPE C-73, 1/4IN ', 'GREASE FITTING, GSP, 1/2 LP, 316SS NACE MR-01-75,FOR TEST/BLEEDER, PLASTIC/GREASE INJECTION, WITH\nEXTENDED THREAD FOR WET AND GAS SERVICE ', 'STUD,1.375 - 8UN, 6.750 ,ASTM A-320 GR L7,CHAMFER EACH END,CAD PLATE PER DCS 013 ', 'NUT,HX HVY,1.375 - 8UN,ASTM A194 GR 2H,CAD PLATE PER DCS 013 ']","TUBING BONNET,D-SEAL,5 X 2 ,13-5/8 5M,11 3M  (SPECIAL) W/2 C73 CONTROL LINE EXITS AND 4 TEST PORTS 1/2 LP 

TAP & GAUGE ALL TEST PORTS 
UPGRADE 5"" AND 2"" BORES TO HH TRIM ( HOT WELD )
ASSEMBLE & TEST
PAINT
ENGINEERING ",,,5772,"Comment: Valenzuela, Paul (GE Oil & Gas):
HRS FROM MONTROSE by Valenzuela, Paul (GE Oil & Gas)",355.2,,400,,519.3907991835453,,,,0.15,8290.1064453125,8290.1064453125,1391.167358398438,3718.98486328125,9681.2734375,12009.091796875,7046.590478515624
